source_id,title,category,program,source_authority,source_url,local_path,effective_from,effective_to,last_verified_at,verification_status,is_time_sensitive,notes
SRC-001,Phase 1 Official Data Pack,research_pack,ALL,Compiled from official QAU public sources,,QAU_CS_Academic_Advisor_Phase1_Official_Data_Pack.docx,2026-08-11,,2026-08-11,verified,false,"Research and implementation pack; not itself an official QAU regulation"
SRC-002,BSCS Fall 2025 onward scheme,curriculum,BSCS,QAU CS Department,https://cs.qau.edu.pk/doc/scheme-2025.pdf,academic-data/bs/bscs_scheme_fall-2025.pdf,Fall 2025,,2026-08-11,verified,false,Official department PDF archived and hashed
SRC-003,BS academic regulations,academic_policy,BS,QAU,https://qau.edu.pk/rules-regulations-relating-to-bs-program-morning-evening/,,,2026-08-11,referenced,false,Archive an official copy or approved snapshot
SRC-004,MPhil examination rules,academic_policy,MPhil,QAU,https://qau.edu.pk/mphil-examination-rules/,,,2026-08-11,referenced,false,Archive an official copy or approved snapshot
SRC-005,PhD procedures,academic_policy,PhD,QAU,https://qau.edu.pk/phd-procedures/,,,2026-08-11,referenced,false,Archive an official copy or approved snapshot
SRC-006,Complete course prerequisite matrix,prerequisites,BSCS,QAU CS Department,,,,,,missing,false,Critical department-provided dataset
SRC-007,Current class and lab timetable,timetable,ALL,QAU CS Department,,academic-data/timetable/,Fall 2026,,2026-08-11,missing,true,Critical operational dataset
SRC-008,Current registration and add-drop schedule,registration,ALL,QAU Registrar or CS Department,,academic-data/registration/,Fall 2026,,2026-08-11,missing,true,Critical operational dataset
SRC-009,Current examination date sheet,exam_schedule,ALL,QAU CS Department or Examinations,,academic-data/exam-schedules/,Fall 2026,,2026-08-11,missing,true,Latest publicly located example was Spring 2025 and must not be treated as current
SRC-010,Complete BSCS course outlines,course_outlines,BSCS,QAU CS Department,,academic-data/course-outlines/,,,,missing,false,Needed for complete course descriptions and document retrieval
SRC-011,Departmental thesis and project SOPs,thesis,ALL,QAU CS Department,,academic-data/thesis/,,,,missing,false,University-level rules are available but operational departmental steps are needed
SRC-012,Authorized student record data contract,student_records,ALL,QAU CS Department or CMS,,,,,,missing,true,Required only for personalized advising; privacy and access approval needed
SRC-013,BSCS Fall 2021 scheme,curriculum,BSCS,QAU CS Department,https://cs.qau.edu.pk/doc/scheme-2021.pdf,academic-data/bs/bscs_scheme_fall-2021.pdf,Fall 2021,,2026-08-11,verified,false,Archived official department PDF; retain for older student batches
SRC-014,BSCS Fall 2023 scheme,curriculum,BSCS,QAU CS Department,https://cs.qau.edu.pk/doc/scheme-2023.pdf,academic-data/bs/bscs_scheme_fall-2023.pdf,Fall 2023,,2026-08-11,verified,false,Archived official department PDF
SRC-015,BSCS Fall 2025 scheme,curriculum,BSCS,QAU CS Department,https://cs.qau.edu.pk/doc/scheme-2025.pdf,academic-data/bs/bscs_scheme_fall-2025.pdf,Fall 2025,,2026-08-11,verified,false,Latest official BSCS scheme located; 134 credits in the PDF
SRC-016,QAU Spring 2026 semester schedule,registration,ALL,QAU Directorate of Academics,https://cs.qau.edu.pk/doc/semester-schedule.pdf,academic-data/registration/qau_semester_schedule_spring-2026.pdf,Spring 2026,,2026-08-11,verified,true,Official schedule; not a Fall 2026 schedule
SRC-017,CS Spring 2026 timetable,timetable,ALL,QAU CS Department,https://cs.qau.edu.pk/doc/timetable.pdf,academic-data/timetable/cs_timetable_spring-2026.pdf,Spring 2026,,2026-08-11,verified,true,Official timetable PDF; current term must be selected explicitly
SRC-018,CS Spring 2025 terminal exam datesheet,exam_schedule,ALL,QAU CS Department,https://cs.qau.edu.pk/doc/datesheet.pdf,academic-data/exam-schedules/cs_terminal_datesheet_spring-2025.pdf,Spring 2025,,2026-08-11,verified,true,Historical official datesheet; never return as current
SRC-019,QAU MPhil regulations,academic_policy,MPhil,QAU,https://cs.qau.edu.pk/doc/Rules-MPhil.pdf,academic-data/university-policies/qau_mphil_rules.pdf,,,2026-08-11,verified,false,Official regulations PDF
SRC-020,QAU PhD regulations,academic_policy,PhD,QAU,https://cs.qau.edu.pk/doc/Rules-PhD.pdf,academic-data/university-policies/qau_phd_rules.pdf,,,2026-08-11,verified,false,Official regulations PDF
SRC-021,CS BS programme page,programme,BSCS,QAU CS Department,https://cs.qau.edu.pk/Bs.html,academic-data/source-registry/snapshots/bs_html.html,,,2026-08-11,verified,false,Retrieved official HTML snapshot; page states older 130-credit text alongside newer schemes
