query_id,query,seed_intent,language_guess,reviewer_1_intent,reviewer_2_intent,adjudicated_intent,entity_review,review_status,notes
Q-0001,What is the prerequisite for Machine Learning?,course_prerequisite,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0002,Can I take CSC-483 without Software Construction?,course_prerequisite,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0003,CSC-486 ki prerequisite kya hai?,course_prerequisite,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0004,Which course must I pass before Artificial Intelligence?,course_prerequisite,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0005,Tell me about CSC-211,course_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0006,How many credit hours is Data Structures?,course_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0007,What is the course description of Computer Networks?,course_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0008,CSC-224 ka course kya hai?,course_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0009,How do I register for courses?,registration_process,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0010,What is the procedure for semester registration?,registration_process,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0011,Courses register karne ka tareeqa kya hai?,registration_process,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0012,How can a student add or drop a course?,registration_process,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0013,When is the registration deadline?,registration_deadline,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0014,What is the last date for course registration?,registration_deadline,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0015,Registration ki last date kya hai?,registration_deadline,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0016,When does add drop close?,registration_deadline,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0017,How many credit hours can I take in one semester?,credit_hour_limit,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0018,What is the normal semester workload for BSCS?,credit_hour_limit,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0019,BSCS mein kitne credit hours le sakte hain?,credit_hour_limit,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0020,Can I take 21 credits this semester?,credit_hour_limit,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0021,How much is the BSCS semester fee?,fee_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0022,What are the morning program fees?,fee_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0023,BS ki semester fee kitni hai?,fee_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0024,Tell me the Fall 2025 MPhil fee,fee_information,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0025,What is the timetable for CSC-312?,timetable_query,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0026,When is my Computer Networks class?,timetable_query,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0027,CSC-224 ka timetable dikha dein,timetable_query,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0028,Show the class schedule for my course,timetable_query,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
Q-0029,When are the final exams?,exam_schedule,english_or_roman_urdu,,,,,needs_review,"Generated candidate; independently verify wording, intent, language, and entities."
